response,anchor,model,n,rmse,mae,scaled_mae,r2
evenness,nearest45,trt_depth_mean,117,0.0907814368552094,0.0709526606210997,0.639096432733906,0.325600261819691
evenness,nearest45,plot_depth_mean,117,0.0776771224890828,0.0604907493449089,0.544862190949831,0.50624722857682
evenness,nearest45,calendar,117,0.133075954421472,0.103858739157876,0.93549345610165,-0.449180453392693
evenness,nearest45,structure_calendar,117,0.0955595907948734,0.0740095862893472,0.666631274593363,0.252739801266434
evenness,nearest45,structure_calendar_climate,117,0.0977525157108176,0.0750245981110563,0.675773855417797,0.218049657177387
evenness,nearest45,structure_calendar_climate_bgc,117,0.0963708672844268,0.0732295506108643,0.659605209394966,0.239997845922282
frac_labile,nearest45,linear90,48,0.0636144026738256,0.0436407423619109,0.473814262924072,0.542720749522582
frac_labile,nearest45,nearest45,117,0.0943768600302952,0.0551614984184413,0.598896886266826,-0.0589877125506737
frac_labile,nearest45,global_mean,117,0.0921776634081775,0.0664682746679345,0.721656297879786,-0.0102090692792758
frac_labile,nearest45,depth_mean,117,0.0876116173954655,0.0582183030525589,0.632085085097316,0.0873941071504952
frac_labile,nearest45,trt_depth_mean,117,0.0807219690890358,0.0514184875028761,0.558258440124736,0.225282497753058
frac_labile,nearest45,plot_depth_mean,117,0.0734091357538178,0.0480647134451108,0.5218459985119,0.359292075919783
frac_labile,nearest45,calendar,117,0.106469125217652,0.0766291424496885,0.831974404724886,-0.347743495547107
frac_labile,nearest45,structure_calendar,117,0.0835473907642219,0.0509276150422629,0.552928962198207,0.170100208900195
frac_labile,nearest45,structure_calendar_climate,117,0.0830163630740561,0.0544137527656057,0.590778496519583,0.180616377508234
frac_labile,nearest45,structure_calendar_climate_bgc,117,0.0897277793189753,0.0589102687244708,0.639597862998451,0.0427757068561905
frac_aromatic,nearest45,linear90,48,0.115860393171903,0.0845190462152545,0.58066943915442,0.470448752390288
frac_aromatic,nearest45,nearest45,117,0.12001981154676,0.0888911174425288,0.610706788854497,0.314223627936566
frac_aromatic,nearest45,global_mean,117,0.145375538490689,0.122845325395641,0.84398167507189,-0.00614207220116314
frac_aromatic,nearest45,depth_mean,117,0.127947560421205,0.100619055340648,0.691280995813655,0.220635435233456
frac_aromatic,nearest45,trt_depth_mean,117,0.129824078710346,0.10202083143647,0.700911588867295,0.197606992445711
frac_aromatic,nearest45,plot_depth_mean,117,0.116075006933626,0.0868412021010823,0.596623298269425,0.358562903174011
frac_aromatic,nearest45,calendar,117,0.157284129445737,0.13149150340021,0.903383331356037,-0.177731910912838
frac_aromatic,nearest45,structure_calendar,117,0.134452765510093,0.10785843896317,0.741017582017048,0.139370723353115
frac_aromatic,nearest45,structure_calendar_climate,117,0.128552685513774,0.106493596036913,0.731640730147414,0.213246028284569
frac_aromatic,nearest45,structure_calendar_climate_bgc,117,0.130285493675646,0.106700843470899,0.733064577867514,0.191893197534398
frac_lignin,nearest45,linear90,48,0.0748082473803206,0.0588605335612833,0.373009258802623,0.79744095696173
frac_lignin,nearest45,nearest45,117,0.0880529030360184,0.0653287296614567,0.41399932272387,0.685944744773506
frac_lignin,nearest45,global_mean,117,0.158068558810991,0.137286108283519,0.870005526562467,-0.0120680027051072
frac_lignin,nearest45,depth_mean,117,0.130211363088184,0.105015281820989,0.665499785084548,0.313221837023183
frac_lignin,nearest45,trt_depth_mean,117,0.123052863791219,0.0983025068269602,0.622959782921221,0.386658772371625
frac_lignin,nearest45,plot_depth_mean,117,0.0987813113423481,0.0725916419717175,0.460025639063293,0.604753273530396
frac_lignin,nearest45,calendar,117,0.18294152772798,0.15559314998128,0.986020377964397,-0.35563667716772
frac_lignin,nearest45,structure_calendar,117,0.127829040664646,0.0988406989727353,0.626370398511036,0.338122273425592
frac_lignin,nearest45,structure_calendar_climate,117,0.130289903570018,0.108536437014675,0.687813947214224,0.312393089758739
frac_lignin,nearest45,structure_calendar_climate_bgc,117,0.129058235545534,0.105894742689023,0.671073078880632,0.325331934756522
