sample_num,sample_col,total_peak_area,formula_detected_n,delGcat_wmean,lambda_wmean,cue_wmean,nosc_wmean,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing,technical_rep,run_date_chr,run_date,tray_position,sample_name_raw,sample_is_extra,sample_date,depth,treatment_raw,plot,treatment
18,Sihi_60398_018_r1_Fir_09Oct24_300SA_p06_18_1_6058,33397910713.6483,680,-14045.8943930409,0.0319523436719353,0.574021654602427,-0.809175980031348,122.730243965355,1.24833826452327,0.219218357388748,0.322893142482023,0.0554806185753579,0.440268121084935,0.145006297646028,0.0774300912519957,0.169421930403781,0.468427936199753,1,09Oct24,2024-10-09,18,18,FALSE,2018-10-10,0-10 cm,Warming treatment,2,warmed
18,Sihi_60398_018_r2_Fir_14Oct24_300SA_p06_18_1_6384,26037911721.8027,732,-14406.3380519726,0.0318776489194038,0.568590799450447,-0.754826200151383,125.579688485458,1.1745596005874,0.20513751298653,0.305746317731041,0.0676567744746664,0.425585294265802,0.136470233492082,0.118879347162659,0.157365204858275,0.48448630457976,2,14Oct24,2024-10-14,18,18,FALSE,2018-10-10,0-10 cm,Warming treatment,2,warmed
19,Sihi_60398_019_r1_Fir_09Oct24_300SA_p06_19_1_6135,51554359781.7474,1792,-14651.7000367752,0.033331059539737,0.559363549173253,-0.669965030618096,127.810730277674,1.15210676249891,0.209541433654613,0.280201916145116,0.211712600098446,0.395808513908353,0.0549924167524649,0.235129148480251,0.0976638348508915,0.445552632963252,1,09Oct24,2024-10-09,19,19,FALSE,2018-11-07,0-10 cm,Warming treatment,2,warmed
19,Sihi_60398_019_r2_Fir_14Oct24_300SA_p06_19_1_6288,48785636991.116,1894,-15070.9568966443,0.0327597097449891,0.558293373447198,-0.659101690370203,131.431928497598,1.12348842426244,0.200075262787911,0.271403147758352,0.200448405524795,0.420432200477902,0.0513551681834325,0.230953825297037,0.0863291988068384,0.470075321149988,2,14Oct24,2024-10-14,19,19,FALSE,2018-11-07,0-10 cm,Warming treatment,2,warmed
20,Sihi_60398_020_r1_Fir_09Oct24_300SA_p06_20_1_6212,61634567602.7735,2472,-12186.114804705,0.0414699938111069,0.540633425793555,-0.482141065960383,105.566916724258,1.18210367854528,0.302953463195807,0.377006840543352,0.301379473949891,0.209148710089043,0.0263331968695398,0.332855926470201,0.095942291139743,0.283254422470206,1,09Oct24,2024-10-09,20,20,FALSE,2019-09-10,0-10 cm,Warming treatment,2,warmed
20,Sihi_60398_020_r2_Fir_14Oct24_300SA_p06_20_1_6395,59880463778.7495,2423,-12283.1941572251,0.0413698738478178,0.540966760360375,-0.485755972389108,106.407571048724,1.17358988969257,0.29692667306235,0.370431755316424,0.294391543681958,0.222215260724607,0.0251063967621204,0.330726502088068,0.090058823810901,0.29758396506515,2,14Oct24,2024-10-14,20,20,FALSE,2019-09-10,0-10 cm,Warming treatment,2,warmed
21,Sihi_60398_021_r1_Fir_09Oct24_300SA_p06_21_1_6086,21173910373.4413,806,-15700.3487791788,0.0298482113292553,0.561766427961112,-0.684147613436518,136.698519215644,1.09096066028729,0.19520602341237,0.313593311030961,0.0244412726652916,0.518864545508526,0.0889526250521756,0.0703339317003556,0.110242851946238,0.564293417988052,1,09Oct24,2024-10-09,21,21,FALSE,2019-12-03,0-10 cm,Warming treatment,2,warmed
21,Sihi_60398_021_r2_Fir_14Oct24_300SA_p06_21_1_6377,15799209743.9048,1888,-19625.3739843127,0.0272049358840333,0.559474060081718,-0.663847582580856,171.312874767952,1.08649860614186,0.194458394048105,0.273152945058013,0.0824336801386037,0.388034964277871,0.07126280402705,0.241084719234119,0.136766861634807,0.556585491746982,2,14Oct24,2024-10-14,21,21,FALSE,2019-12-03,0-10 cm,Warming treatment,2,warmed
22,Sihi_60398_022_r1_Fir_09Oct24_300SA_p06_22_1_6204,33888551835.7916,1199,-14980.8451442018,0.0316022409946987,0.560462543246784,-0.676076462243174,130.49742910492,1.09691262590239,0.190548074232188,0.273274933229187,0.119909372554744,0.489679859022529,0.0808418354204442,0.146495862958332,0.0978326561212585,0.521847065428837,1,09Oct24,2024-10-09,22,22,FALSE,2020-01-28,0-10 cm,Warming treatment,2,warmed
22,Sihi_60398_022_r2_Fir_14Oct24_300SA_p06_22_1_6471,41733251845.8568,1321,-15003.5907830394,0.032134824561007,0.553995287086825,-0.613203057219045,130.453305133984,1.08736083466151,0.206730726233678,0.285545302489673,0.182417098930914,0.395106215683353,0.0556138817295887,0.231948158708287,0.0987171617366292,0.468068702437735,2,14Oct24,2024-10-14,22,22,FALSE,2020-01-28,0-10 cm,Warming treatment,2,warmed
22,Sihi_60398_022_r2_Fir_24Oct24_300SA_p06_22_1_6561,40934786586.304,1392,-14880.0710375424,0.0322642322111583,0.554713363828195,-0.619953970416558,129.407874653881,1.0741622636506,0.198039980156262,0.272916154457107,0.173268872079298,0.419170297050034,0.0627248277290098,0.221208197256786,0.101430983956544,0.478973555129398,2,24Oct24,2024-10-24,22,22,FALSE,2020-01-28,0-10 cm,Warming treatment,2,warmed
23,Sihi_60398_023_r1_Fir_09Oct24_300SA_p06_23_1_6240,12602384706.3596,514,-15780.8237847124,0.0303270593595935,0.570641049556547,-0.775048428743656,137.895700128391,1.15726006492683,0.184231920887951,0.265279536370738,0.0696601186305705,0.473638816991938,0.113259447282978,0.129012427076645,0.152535453333097,0.540850223535987,1,09Oct24,2024-10-09,23,23,FALSE,2021-12-15,0-10 cm,Warming treatment,2,warmed
23,Sihi_60398_023_r2_Fir_14Oct24_300SA_p06_23_1_6286,10712162331.9927,548,-16373.2487115545,0.0301849508127969,0.569375908726517,-0.763070879363881,143.020726712287,1.15137547827843,0.183827096980241,0.249751543064408,0.0811514438865702,0.451441700028727,0.112419248785067,0.166220451003607,0.157771853788064,0.540241883590911,2,14Oct24,2024-10-14,23,23,FALSE,2021-12-15,0-10 cm,Warming treatment,2,warmed
24,Sihi_60398_024_r1_Fir_08Oct24_300SA_p03_24_1_6033,29724507320.7305,1171,-15325.9233101191,0.0317448130956222,0.557766385618798,-0.645115573820075,133.395851675642,1.09392662083183,0.210205976077793,0.345047397527339,0.027342392332016,0.515033499386364,0.0612711793456302,0.0711581418188062,0.0890412875211156,0.554881779422083,1,08Oct24,2024-10-08,24,24,FALSE,2022-08-23,0-10 cm,Warming treatment,2,warmed
24,Sihi_60398_024_r1_Fir_09Oct24_300SA_p06_24_1_6041,50734864952.837,985,-14323.2262726265,0.0327814829751393,0.559170653480795,-0.659263471332328,124.595839472,1.14736221875849,0.234640467309007,0.377960010596285,0.0302893489017908,0.485568536934311,0.0709688341308378,0.0533719513468722,0.0995400506077619,0.507254578434856,1,09Oct24,2024-10-09,24,24,FALSE,2022-08-23,0-10 cm,Warming treatment,2,warmed
24,Sihi_60398_024_r2_Fir_14Oct24_300SA_p06_24_1_6389,36755664344.0835,1229,-14993.4426770077,0.0323065476646058,0.557087320911545,-0.639575681127004,130.404654824207,1.10209682807482,0.21827176343966,0.357372465588108,0.0591932156991603,0.433808363120577,0.0712302185876766,0.120241780212793,0.10983825228856,0.496827277067592,2,14Oct24,2024-10-14,24,24,FALSE,2022-08-23,0-10 cm,Warming treatment,2,warmed
25,Sihi_60398_025_r1_Fir_09Oct24_300SA_p06_25_1_6168,14075480319.1046,391,-14605.8483384359,0.0311650445170775,0.574747684002969,-0.816182372641673,127.550684284498,1.20443594997508,0.193632377492778,0.275863958504062,0.056911645761666,0.446153516847201,0.149157321137964,0.114989524727137,0.192418272275884,0.495058863199544,1,09Oct24,2024-10-09,25,25,FALSE,2022-11-16,0-10 cm,Warming treatment,2,warmed
25,Sihi_60398_025_r2_Fir_14Oct24_300SA_p06_25_1_6335,10291249300.0655,385,-15546.0264426883,0.0307742518779025,0.576259618568488,-0.833366057656811,135.996918667747,1.21805882615027,0.190136255557641,0.260927339366247,0.0988899295469501,0.396310851293231,0.155324508208676,0.16791230120533,0.204470940833927,0.460485420135418,2,14Oct24,2024-10-14,25,25,FALSE,2022-11-16,0-10 cm,Warming treatment,2,warmed
26,Sihi_60398_026_r1_Fir_08Oct24_300SA_p03_26_1_6008,11201815958.2386,605,-14980.1060724047,0.0361783669169167,0.567128795119958,-0.743263342441203,130.915292841744,1.21375060593275,0.215752767533365,0.310569549391554,0.109024871987496,0.325352461728657,0.090319307881754,0.252620736583675,0.174567661590452,0.441104518806814,1,08Oct24,2024-10-08,26,26,FALSE,2017-10-20,0-10 cm,Control treatment,3,control
26,Sihi_60398_026_r1_Fir_09Oct24_300SA_p06_26_1_6051,19248340744.2507,528,-12691.2905601826,0.0385875458382882,0.56777262037188,-0.749432749019974,110.849979244284,1.23489839268975,0.224856554531637,0.32280795661015,0.137119554592343,0.320444879923922,0.0980899023461759,0.234145718300966,0.181292421126869,0.386186012216713,1,09Oct24,2024-10-09,26,26,FALSE,2017-10-20,0-10 cm,Control treatment,3,control
