scope,metric,metric_label,metric_order,lag_bin,n_pairs,median_lag_days,mean_scaled_semivar,rho_hat,median_abs_raw_change,depth_label,treatment_label
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,00-45 d,13,27,0.66700622060375,0.33299377939625,162,10-30 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,46-90 d,19,70,0.499694230134705,0.500305769865295,84,10-30 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,91-180 d,31,140,0.542927055014434,0.457072944985566,126,10-30 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,181-365 d,59,267,0.943220494403884,0.0567795055961163,187,10-30 cm,Warmed
by_treatment_depth,richness,"Formula richness
(detected formulae)",1,>365 d,190,881,1.16502095202271,-0.165020952022712,248,10-30 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,00-45 d,28,27,0.579731781003518,0.420268218996482,0.0425390265114175,0-10 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,46-90 d,23,70,0.8971913244038,0.1028086755962,0.0493207066369831,0-10 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,91-180 d,36,135,0.856856429552897,0.143143570447103,0.0711815098402656,0-10 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,181-365 d,67,267,0.943849389325942,0.0561506106740575,0.034578371029107,0-10 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,>365 d,326,954,1.07069745129408,-0.0706974512940846,0.0741932324700536,0-10 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,00-45 d,27,27,0.646815020951084,0.353184979048916,0.056036217116381,0-10 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,46-90 d,22,70.5,0.298488399120238,0.701511600879762,0.0700699920346075,0-10 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,91-180 d,36,135,0.38133619722708,0.61866380277292,0.0458958200395315,0-10 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,181-365 d,66,267,0.568578544731827,0.431421455268173,0.0521279184616715,0-10 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,>365 d,317,938,1.23884846246435,-0.238848462464353,0.136231753733768,0-10 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,00-45 d,17,28,1.68499524757887,-0.684995247578871,0.06237720588483,10-30 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,46-90 d,21,70,0.949784446077433,0.0502155539225674,0.0398457640732199,10-30 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,91-180 d,35,126,0.974684535224903,0.0253154647750966,0.095864577101769,10-30 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,181-365 d,62,266.5,0.700312766485005,0.299687233514995,0.071207400831812,10-30 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,>365 d,237,925,1.03745256189279,-0.0374525618927901,0.091522526077934,10-30 cm,Control
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,00-45 d,13,27,0.74952773538128,0.250472264618721,0.05297242851761,10-30 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,46-90 d,19,70,1.34357977070702,-0.343579770707019,0.058659853610472,10-30 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,91-180 d,31,140,0.792641107395123,0.207358892604877,0.041848316157318,10-30 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,181-365 d,59,267,0.825718159305201,0.174281840694799,0.0433953824614061,10-30 cm,Warmed
by_treatment_depth,mean_nosc,"Mean NOSC
(formula-count mean)",2,>365 d,190,881,1.07073093720187,-0.070730937201865,0.05102240985977,10-30 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,00-45 d,28,27,0.679801377543964,0.320198622456036,0.037410707173505,0-10 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,46-90 d,23,70,0.497135243268555,0.502864756731445,0.0263177270289201,0-10 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,91-180 d,36,135,0.685584809159717,0.314415190840283,0.0212965643524,0-10 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,181-365 d,67,267,1.4820826735187,-0.482082673518698,0.0279041222632099,0-10 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,>365 d,326,954,0.998622265576962,0.00137773442303779,0.0379070138963401,0-10 cm,Control
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,00-45 d,27,27,0.697047672456274,0.302952327543726,0.0271496572188501,0-10 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,46-90 d,22,70.5,0.59992622336173,0.40007377663827,0.03111849989935,0-10 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,91-180 d,36,135,0.714415504903,0.285584495097,0.0317327611974401,0-10 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,181-365 d,66,267,0.496796228755546,0.503203771244455,0.0256826855055949,0-10 cm,Warmed
by_treatment_depth,mean_hc,"Mean H/C
(formula-count mean)",3,>365 d,317,938,1.19076916925977,-0.190769169259774,0.0397760354080401,0-10 cm,Warmed
